"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000044797",79.7341997764243,-13.3414860172853,5.50137709849,-2.42511752574591,0.01530343168585,0.248575223986884
"ENSDARG00000017217",249.570175530715,-12.1263063191015,2.26824125260029,-5.34612722751602,8.98560586854839e-08,0.000141088988145991
"ENSDARG00000000906",91.4346383871972,-11.5029897694422,1.99250041234303,-5.77314298064085,7.78063637259018e-09,2.44337917553907e-05
"ENSDARG00000029747",142.309270190387,-10.853855062439,5.50055434902134,-1.97322930994584,0.0484694425680614,0.419315144470999
"ENSDARG00000045164",43.3004765217893,-10.8313002309237,5.50651227126682,-1.9669982917212,0.0491834077182212,0.421059158012383
"ENSDARG00000091974",105.59567305915,-10.7599350483732,1.87765011939004,-5.73053250829745,1.00115837657261e-08,2.69483230448302e-05
"ENSDARG00000043349",118.184518737217,-10.7143771751833,2.50654797017797,-4.27455500659042,1.91519419555684e-05,0.00591575230043967
"ENSDARG00000043135",68.5314222854968,-10.6442861436336,2.99858287549595,-3.54977220426935,0.000385564626168393,0.0376690448225945
"ENSDARG00000089237",28.0852806102915,-10.5005272191546,3.37262097970437,-3.11346198767793,0.00184906327129212,0.0856020888395237
"ENSDARG00000094605",40.5877858757695,-10.1270440184912,2.77702981531207,-3.6467177855464,0.000265611366295345,0.0293713024052131
"ENSDARG00000091917",30.2352327473166,-10.1232196678628,3.02579351133355,-3.34564127722027,0.000820925263638286,0.0553699409120109
"ENSDARG00000020028",35.8913454293985,-9.96616746800208,3.27856635210482,-3.03979434840593,0.00236739740659516,0.099170873274965
"ENSDARG00000043640",1306.05881692741,-9.87823265340121,2.05907260377142,-4.79741833061552,1.60723706549738e-06,0.00112161336252229
"ENSDARG00000040816",26.5700496489769,-9.7711030343432,2.73873068765746,-3.56774876711255,0.000360061482354902,0.0360865875028248
"ENSDARG00000075511",23.3660684513298,-9.72339818507177,3.50368443450416,-2.77519233447969,0.00551690707042977,0.154457003003028
"ENSDARG00000042387",38.2292379219095,-9.66293233800799,2.59686065656,-3.72100532756665,0.000198431251628822,0.024197002536288
"ENSDARG00000041873",18.1252283082766,-9.58206991035934,3.73077879101242,-2.56838329129642,0.0102174111187685,0.206018049795749
"ENSDARG00000069332",30.5870810962292,-9.46358446930393,3.0456814208513,-3.1072141703707,0.0018885952022321,0.0861620116233831
"ENSDARG00000056732",28.868621584174,-9.4348209006182,2.72062372843815,-3.46788892635092,0.000524564058841233,0.0422386153704552
"ENSDARG00000069293",39.5376326111075,-9.38500783824115,2.35426341899699,-3.98638816816834,6.70867257265285e-05,0.0134934058606197
"ENSDARG00000096261",54.681249316777,-9.35954119178656,2.66570928318413,-3.51108849371857,0.000446275810071132,0.0392931252960761
"ENSDARG00000069441",33.9477765146067,-9.27540020768014,2.34797424455636,-3.95038413610567,7.80258629446779e-05,0.0145560723723131
"ENSDARG00000060758",35.9953047676624,-9.23632644373113,2.46697467459652,-3.74398916164057,0.000181121469263222,0.0231538977066073
"ENSDARG00000057792",76.5722637054028,-9.23556905910127,2.72079581429345,-3.39443666098833,0.000687699456549728,0.0500294716614285
"ENSDARG00000078647",322.571419221049,-9.1901258468727,1.95804034568594,-4.69353242241453,2.68527408408596e-06,0.00158112294663586
"ENSDARG00000056762",25.8286393211307,-9.17691129067278,2.82595631870291,-3.24736487607314,0.00116478958024783,0.0662218340998793
"ENSDARG00000018521",25.1084826567284,-9.08982279183907,2.44269947372831,-3.72122026864205,0.000198262405529421,0.024197002536288
"ENSDARG00000012125",320.354611017733,-9.03867935610042,2.30346413085974,-3.92395055560376,8.71086210332452e-05,0.0154839682783812
"ENSDARG00000034572",44.7512219274612,-9.01594383587663,2.70735564609466,-3.33016604186527,0.000867942098564983,0.0569817596556147
"ENSDARG00000018944",32.4270619938831,-9.00332264610747,2.79726220061387,-3.21861949306421,0.00128809289003134,0.0691460006665825
"ENSDARG00000077470",21.3814019050524,-8.96716504938788,3.31014123565371,-2.70899771671434,0.00674868041940244,0.168118462425075
"ENSDARG00000053570",20.2286180475574,-8.92631311600977,3.43365052046463,-2.59965685581825,0.0093317020405712,0.197781698367202
"ENSDARG00000086559",37.8107870774655,-8.90013466395145,2.85020464737646,-3.12263004417729,0.00179242899914011,0.0833939564390232
"ENSDARG00000014697",21.4728452699895,-8.86752631501603,2.52294328983513,-3.51475451340624,0.000440160667697356,0.0392917933456414
"ENSDARG00000088268",1747.44492167803,-8.83455019773944,1.73913488504844,-5.07985336484891,3.77726309791296e-07,0.0003745852173204
"ENSDARG00000076332",44.8724863954094,-8.81456461319952,2.28479578627099,-3.85792229929911,0.000114354987210242,0.0176612841722571
"ENSDARG00000087563",36.2856739907349,-8.81072210077957,2.52255638110763,-3.49277509385573,0.00047802893673136,0.0406060757547061
"ENSDARG00000089640",31.1534403421204,-8.80568071006502,2.61655308001434,-3.36537438407967,0.000764398639523406,0.053146860390775
"ENSDARG00000078331",52.4408221085146,-8.77119447126119,2.83068438973178,-3.09861265462106,0.00194429035611606,0.0874327419807611
"ENSDARG00000008797",17.4662385653647,-8.71097470596944,3.28750124241169,-2.64972514491862,0.00805572775215832,0.184148737604662
"ENSDARG00000034989",24.2837809654468,-8.67905751764967,2.82672287908383,-3.07036023299979,0.00213800727752301,0.0936844956350898
"ENSDARG00000052057",2380.74876060785,-8.66974805867633,1.15256645936905,-7.52212420221078,5.38933490161989e-14,1.01545848216322e-09
"ENSDARG00000022813",39.9796347640948,-8.64009986813412,2.61260020541041,-3.30708841339039,0.00094271133016762,0.0602120911288756
"ENSDARG00000043079",23.7077303117143,-8.63964959005244,2.60709389787022,-3.31390043032601,0.000920042637999945,0.0593679567986129
"ENSDARG00000088891",19.7987665873723,-8.62582548175939,3.4292086127245,-2.51539829036712,0.011889797824201,0.221426204709469
"ENSDARG00000075505",68.2820708880632,-8.5720077068845,1.92866236010183,-4.44453517848086,8.80820953251091e-06,0.00353115497896958
"ENSDARG00000069563",16.6046870398185,-8.54308279564806,3.32944798247924,-2.56591568350214,0.0102903838828179,0.206487127923381
"ENSDARG00000095372",25.9412379958882,-8.51794400887878,2.56268807716196,-3.32383175494067,0.000887897446427218,0.0576590392025275
"ENSDARG00000052046",33.9688623165243,-8.51696018835383,2.57700328971315,-3.30498615285115,0.000949810924947912,0.0604605994860425
"ENSDARG00000067859",24.2442905844808,-8.4125704642056,2.48942426668784,-3.37932371624161,0.000726643915857963,0.0514715212879539
